year,month,total_trips,total_fare_amt,total_dist_amt,avg_fare,avg_distance,date,year_cat
2020,2,6220666,115438497.61023876,17792320.58000025,18.557256989884806,2.86019544852597,2020-02,2020
2020,1,6317294,117499606.22014563,18539882.110000204,18.599673565951754,2.934782220045514,2020-01,2020
2020,6,530125,9947106.650002073,1839080.369999998,18.76370035369408,3.469144767743453,2020-06,2020
2021,11,3424293,71020360.23983778,11512215.640000042,20.740152854863116,3.361924823605936,2021-11,2021
2021,10,3408263,69353756.94985022,11160112.650000086,20.348710457453024,3.2744282498152537,2021-10,2021
2021,9,2897057,59869253.66987189,9917679.380000053,20.665542193291984,3.4233635651628713,2021-09,2021
2021,8,2739585,55563947.019900784,9603220.009999989,20.281884672277293,3.505355741836807,2021-08,2021
2021,7,2773089,55326885.99990319,9395383.990000064,19.951356050924865,3.388057141332306,2021-07,2021
2021,12,3163011,66265792.369841166,10916562.460000103,20.95022507662514,3.4513197899090784,2021-12,2021
2021,5,2464182,46640444.46994475,7692542.219999996,18.927353770924693,3.1217427203023136,2021-05,2021
2021,4,2130733,39258916.01995285,6395781.779999999,18.425075323821826,3.001681477688664,2021-04,2021
2021,3,1892307,33671468.01998556,5462402.530000016,17.793871723766575,2.8866365394198805,2021-03,2021
2021,2,1346634,23807740.590004344,3832840.490000005,17.679444147410763,2.8462377230932865,2021-02,2021
2021,1,1343600,23549446.779993236,3948026.300000015,17.527126213153643,2.938394090503137,2021-01,2021
2021,6,2788681,54314127.44987123,8869319.799999967,19.47663696560174,3.180471269392221,2021-06,2021
2022,12,3313055,81998853.82992274,12007720.610000076,24.750224137517407,3.6243650075232905,2022-12,2022
2022,11,3171343,70293860.28985983,11482094.860000111,22.165328786529816,3.62057805163305,2022-11,2022
2022,10,3590560,80139869.64983064,13184994.850000208,22.31960185871581,3.672127704313591,2022-10,2022
2022,9,3113211,70551425.98984076,11693857.69000012,22.66194806257615,3.756204667785165,2022-09,2022
2022,8,3084080,66707842.849835366,11440492.310000079,21.629738155247388,3.709531630178231,2022-08,2022
2022,7,3110063,66880862.879862696,11418399.210000133,21.504664979411253,3.6714366268465084,2022-07,2022
2022,6,3486243,76576943.88983428,12701852.989999982,21.965463649503,3.6434215830623344,2022-06,2022
2022,4,3542056,75220044.58980972,12465791.68000007,21.23626633509174,3.519366063100095,2022-04,2022
2022,3,3568951,73702799.7898334,12088573.63000017,20.65111002920281,3.3871503503410865,2022-03,2022
2022,2,2933184,57402226.169896826,9190647.720000029,19.56993702744077,3.133334874320884,2022-02,2022
2022,1,2423111,46178749.79993517,7663765.500000053,19.05762872602005,3.162779377420206,2022-01,2022
2022,5,3523999,78028227.93983568,13025858.89000013,22.141955187795364,3.696328770240891,2022-05,2022
2023,8,2738643,79917075.2100042,10127151.46000008,29.181267952779606,3.6978720702187466,2023-08,2023
2023,11,3203937,93889804.92000234,10971437.040000075,29.30451033213273,3.4243610408070055,2023-11,2023
2023,10,3367145,100266060.46000338,11918820.300000092,29.77776735483722,3.539740729906224,2023-10,2023
2023,12,3267028,95048528.39000684,11004466.940000089,29.093270210725724,3.3683417895408576,2023-12,2023
2023,9,2721702,82311380.12000546,9840999.910000041,30.242612938523564,3.6157521690471777,2023-09,2023
2023,7,2829561,82283412.02999578,10382964.530000046,29.079921595609985,3.6694612803894477,2023-07,2023
2023,3,3328895,93876000.17999695,11541259.790000087,28.200348818450852,3.46699423983036,2023-03,2023
2023,5,3438515,101013051.45000866,12350714.300000085,29.376940757858744,3.591874486515279,2023-05,2023
2023,4,3221376,92352426.28000078,11478587.160000023,28.668626785572616,3.5632559378352675,2023-04,2023
